Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,creep_life
800,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,79
800,760,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,280
800,780,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,165
800,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,79
1040,137,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,556
1070,137,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,239
1080,137,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,165
1070,147,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,180
1070,160,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,110
1010,200,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,74
1000,200,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,111
980,200,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,183
980,220,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,105
980,240,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,59
800,760,66.45,6,3.9,4.15,6,0,0,0,7.5,6,0,0,0,0,0,0,0,165
800,800,64.29,5.98,5.97,5.82,6.25,0,0,0,7.62,4.07,0,0,0,0,0,0,0,79
800,800,60.76,5.99,5.89,5.8,6.07,0,1.98,0,7.55,5.96,0,0,0,0,0,0,0,85
1100,137,64.29,5.98,5.97,5.82,6.25,0,0,0,7.62,4.07,0,0,0,0,0,0,0,68
1100,137,60.76,5.99,5.89,5.8,6.07,0,1.98,0,7.55,5.96,0,0,0,0,0,0,0,125
760,800,64.45,6,3.9,4.15,6,0,2,0,7.5,6,0,0,0,0,0,0,0,358
780,800,64.45,6,3.9,4.15,6,0,2,0,7.5,6,0,0,0,0,0,0,0,149
800,800,64.45,6,3.9,4.15,6,0,2,0,7.5,6,0,0,0,0,0,0,0,85
1100,148,62.69,6,9,2.5,1.5,4,0,0.2,8,6,0.1,0,0,0.01,0,0,0,81.6
1000,207,68.902,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0.003,110.4
1000,148,68.902,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0.003,790
925,310,68.902,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0.003,129.6
925,207,68.902,5.79,0,9.15,0.94,0,0,1.41,2.9,10.9,0,0,0,0.005,0,0,0.003,1012
1040,137,58.832,4.35,12.4,6.6,0.73,1.26,0,0,7.68,6.32,0.24,1.5,0,0.062,0,0,0.026,211.1
950,165,57.4135,6,10,7,0.7,3.2,0,1,7.8,6.6,0.25,0,0,0.03,0,0,0.0065,4430
950,200,57.4135,6,10,7,0.7,3.2,0,1,7.8,6.6,0.25,0,0,0.03,0,0,0.0065,2250
982,248,59,5.5,10,7,0,4,0,0,10.9,3.5,0.1,0,0,0,0,0,0,272.9
982,248,59.1,5.5,10,7,1,3.1,0,0,6.1,8.1,0.1,0,0,0,0,0,0,273.8
982,248,59.2,5.4,10,7,2.1,3,0,0,6.2,7,0.1,0,0,0,0,0,0,299.2
950,200,57.9135,5.8,10,6.8,0.7,3.2,0,0.9,7.8,6.6,0.25,0,0,0.03,0,0,0.0065,2467
950,250,57.9135,5.8,10,6.8,0.7,3.2,0,0.9,7.8,6.6,0.25,0,0,0.03,0,0,0.0065,895
982,248,59.2,5.6,10,5,2,3.1,0,0,9,6,0.1,0,0,0,0,0,0,406.8
982,248,59.3,5.6,10,5,2,3.1,0,0,10.9,4,0.1,0,0,0,0,0,0,319.6
982,248,59.5,5.5,10,7,2,3,0,0,6.9,6,0.1,0,0,0,0,0,0,271.5
1040,137,59.9,5.3,7.3,5.5,0,0,0,0,3.4,18.6,0,0,0,0,0,0,0,1707
1040,137,60.1,5.2,7.5,5.5,0,0,0,0,5.1,16.6,0,0,0,0,0,0,0,1751
982,248,60.3,5.5,10,6.8,1,5.1,0,0,7.4,3.8,0.1,0,0,0,0,0,0,276.7
1040,137,61.126,4.53,8.63,6.89,0.76,1.32,0,0,8.02,6.59,0.24,1.57,0,0.06,0.24,0,0.024,240.4
982,276,59.546,6.2,10,7,1.5,2,0,0,6.5,7,0.15,0,0,0.05,0.05,0,0.004,72.7
871,552,59.546,6.2,10,7,1.5,2,0,0,6.5,7,0.15,0,0,0.05,0.05,0,0.004,110
982,276,60.585,6.2,10,7,1.5,3,0,0,6.5,5,0.15,0,0,0.05,0.015,0,0,76.2
950,250,59.27,5.6,9.5,6.5,0.6,3,0,0.6,8.2,6.5,0.2,0,0,0.025,0,0,0.005,947
950,165,59.27,5.6,9.5,6.5,0.6,3,0,0.6,8.2,6.5,0.2,0,0,0.025,0,0,0.005,5040
950,200,59.27,5.6,9.5,6.5,0.6,3,0,0.6,8.2,6.5,0.2,0,0,0.025,0,0,0.005,2280
982,248,61.3,5.8,9.9,7.1,2,2.9,0,0,3.9,6.9,0.1,0,0,0,0.1,0,0,219.6
871,552,60.081,6.2,10,7,1.5,2.5,0,0,6.5,6,0.15,0,0,0.05,0.015,0,0.004,119.1
982,276,60.081,6.2,10,7,1.5,2.5,0,0,6.5,6,0.15,0,0,0.05,0.015,0,0.004,72.7
950,250,60.0695,5.6,9.5,6.5,0.6,3,0,0.6,7.5,6.4,0.2,0,0,0.025,0,0,0.0055,880
950,200,60.0695,5.6,9.5,6.5,0.6,3,0,0.6,7.5,6.4,0.2,0,0,0.025,0,0,0.0055,2388
950,165,60.0695,5.6,9.5,6.5,0.6,3,0,0.6,7.5,6.4,0.2,0,0,0.025,0,0,0.0055,6815
871,552,60.981,5.8,10,7,1.5,3,0,1.5,5,5,0.15,0,0,0.05,0.015,0,0.004,59.8
982,276,60.981,5.8,10,7,1.5,2,0,1.5,5,6,0.15,0,0,0.05,0.015,0,0.004,68.9
